label	id	name	class	pathway_size	genes_found_n	genes_found_frac	genes_found	genes_not_found
6802957 [Disease]	R-HSA-6802957	Oncogenic MAPK signaling	Disease	79	78	0.987341772151899	AGGF1|AGK|AGTRAP|AKAP9|AP3B1|APBB1IP|ARAF|ARRB1|ARRB2|ATG7|BCL2L11|BRAF|BRAP|CALM1|CAMK2A|CAMK2B|CAMK2D|CAMK2G|CLCN6|CNKSR1|CNKSR2|CSK|DAB2IP|ESRP1|FAM114A2|FAM131B|FGA|FGB|FGG|FN1|FXR1|HRAS|IQGAP1|ITGA2B|ITGB3|JAK2|KDM7A|KIAA1549|KRAS|KSR1|KSR2|LMNA|MAP2K1|MAP2K2|MAP3K11|MAPK1|MAPK3|MARK3|MPRIP|NF1|NRAS|PAPSS1|PEBP1|PHB|QKI|RAF1|RAP1A|RAP1B|RASA1|RASA2|RASA3|RASA4|RASAL1|RASAL2|RASAL3|SND1|SPRED1|SPRED2|SPRED3|SRC|SYNGAP1|TLN1|TRAK1|TRIM24|VCL|VWF|YWHAB|ZC3HAV1	TENT4A
111885 [Sig Transd]	R-HSA-111885	Opioid Signalling	Sig Transd	89	84	0.943820224719101	ADCY1|ADCY2|ADCY3|ADCY4|ADCY5|ADCY6|ADCY7|ADCY8|ADCY9|AHCYL1|CALM1|CAMK2A|CAMK2B|CAMK2D|CAMK2G|CAMK4|CAMKK1|CAMKK2|CDK5|CREB1|GNAI1|GNAI2|GNAI3|GNAL|GNAO1|GNAT1|GNAT2|GNAZ|GNB1|GNB2|GNB3|GNB4|GNB5|GNG10|GNG11|GNG12|GNG2|GNG3|GNG4|GNG5|GNG7|GNGT1|GNGT2|GRK2|ITPR1|ITPR2|ITPR3|KPNA2|MAPK1|OPRM1|PDE1A|PDE1B|PDE1C|PDE4A|PDE4B|PDE4C|PDE4D|PLA2G4A|PLCB1|PLCB2|PLCB3|PLCB4|POMC|PPP1CA|PPP1R1B|PPP2CA|PPP2CB|PPP2R1A|PPP2R1B|PPP2R5D|PPP3CA|PPP3CB|PPP3CC|PPP3R1|PRKACA|PRKACB|PRKAR1A|PRKAR1B|PRKAR2A|PRKAR2B|PRKCA|PRKCD|PRKCG|PRKX	GNAT3|GNG13|GNG8|PDYN|PRKACG
419771 [Sig Transd]	R-HSA-419771	Opsins	Sig Transd	9	4	0.444444444444444	OPN1SW|OPN3|RHO|RRH	OPN1LW|OPN1MW|OPN4|OPN5|RGR
68949 [Cell Cycl]	R-HSA-68949	Orc1 removal from chromatin	Cell Cycl	71	70	0.985915492957746	CCNA1|CCNA2|CDC6|CDK2|CDT1|CUL1|MCM2|MCM3|MCM4|MCM5|MCM6|MCM7|MCM8|ORC1|ORC2|ORC3|ORC4|ORC5|ORC6|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMC1|PSMC2|PSMC3|PSMC4|PSMC5|PSMC6|PSMD1|PSMD10|PSMD11|PSMD12|PSMD13|PSMD14|PSMD2|PSMD3|PSMD4|PSMD5|PSMD6|PSMD7|PSMD8|PSMD9|PSME1|PSME2|PSME3|PSME4|PSMF1|RBX1|RPS27A|SEM1|SKP1|SKP2|UBA52|UBB|UBC	PSMB11
389397 [Sig Transd]	R-HSA-389397	Orexin and neuropeptides FF and QRFP bind to their respective receptors	Sig Transd	8	6	0.75	HCRTR1|HCRTR2|NPFFR1|NPFFR2|QRFP|QRFPR	HCRT|NPFF
1852241 [Org Biog]	R-HSA-1852241	Organelle biogenesis and maintenance	Org Biog	282	261	0.925531914893617	ACSS2|ACTR1A|AHI1|AKAP9|ALAS1|ALMS1|APOO|APOOL|ARF4|ARL13B|ARL3|ARL6|ASAP1|ATAT1|ATF2|ATP5B|B9D1|B9D2|BBIP1|BBS1|BBS10|BBS12|BBS2|BBS4|BBS5|BBS7|BBS9|C2CD3|CALM1|CAMK4|CARM1|CC2D2A|CCP110|CCT2|CCT3|CCT4|CCT5|CCT8|CDK1|CDK5RAP2|CENPJ|CEP131|CEP135|CEP152|CEP162|CEP164|CEP192|CEP250|CEP290|CEP41|CEP57|CEP63|CEP70|CEP72|CEP76|CEP78|CEP83|CEP89|CEP97|CETN2|CHCHD3|CHCHD6|CHD9|CKAP5|CLASP1|CLUAP1|CNGA4|CNGB1|CNTRL|CREB1|CREBBP|CRTC1|CRTC2|CRTC3|CSNK1D|CSNK1E|CYCS|CYS1|DCTN1|DCTN2|DCTN3|DNAJC11|DYNC1H1|DYNC1I2|DYNC2H1|DYNC2LI1|DYNLL1|DYNLL2|DYNLRB1|DYNLRB2|ESRRA|EXOC1|EXOC2|EXOC3|EXOC4|EXOC5|EXOC6|EXOC7|EXOC8|FBF1|FGFR1OP|GABPA|GABPB1|GBF1|GLUD1|GLUD2|HAUS1|HAUS2|HAUS3|HAUS4|HAUS5|HAUS6|HAUS7|HAUS8|HCFC1|HDAC3|HDAC6|HELZ2|HSP90AA1|HSPA9|HSPB11|IDH2|IFT122|IFT140|IFT172|IFT20|IFT22|IFT27|IFT43|IFT46|IFT52|IFT57|IFT74|IFT80|IFT81|IFT88|IMMT|INPP5E|IQCB1|KIF17|KIF24|KIF3A|KIF3B|KIF3C|KIFAP3|LZTFL1|MAPK11|MAPK12|MAPK14|MAPRE1|MARK4|MCHR1|MED1|MEF2C|MEF2D|MKKS|MKS1|MT-ATP6|MT-ATP8|MTERF1|MTX1|MTX2|NCOA1|NCOA2|NCOA6|NCOR1|NDE1|NEDD1|NEK2|NINL|NPHP1|NPHP3|NPHP4|NR1D1|NRF1|ODF2|OFD1|PAFAH1B1|PCM1|PCNT|PDE6D|PERM1|PKD1|PKD2|PLK1|PLK4|POLG2|POLRMT|PPARA|PPARGC1A|PPARGC1B|PPP2R1A|PPRC1|PRKAA2|PRKAB1|PRKAB2|PRKACA|PRKAG1|PRKAG2|PRKAG3|PRKAR2B|RAB11A|RAB11FIP3|RAB3IP|RAB8A|RHO|RP2|RPGRIP1L|RXRA|SAMM50|SCLT1|SDCCAG8|SEPT2|SFI1|SIRT3|SIRT4|SIRT5|SMARCD3|SMO|SOD2|SSBP1|SSNA1|SSTR3|TBL1X|TBL1XR1|TCP1|TCTE3|TCTEX1D1|TCTEX1D2|TCTN1|TCTN2|TCTN3|TFAM|TFB1M|TFB2M|TGS1|TMEM11|TMEM216|TMEM67|TNPO1|TRAF3IP1|TRIP11|TTBK2|TTC21B|TTC26|TTC30A|TTC30B|TTC8|TUBA1A|TUBA4A|TUBB|TUBB4A|TUBB4B|TUBG1|UNC119B|WDR19|WDR34|WDR35|WDR60|YWHAE|YWHAG	ATP5F1A|ATP5F1B|ATP5F1C|ATP5F1D|ATP5F1E|ATP5MC1|ATP5MC2|ATP5MC3|ATP5ME|ATP5MF|ATP5MG|ATP5PB|ATP5PD|ATP5PF|ATP5PO|CNGA2|DMAC2L|MICOS10|MICOS13|MTERF|PEO1
561048 [Transp Sm Mol]	R-HSA-561048	Organic anion transport	Transp Sm Mol	5	5	1	SLC22A11|SLC22A12|SLC22A6|SLC22A7|SLC22A8	
428643 [Transp Sm Mol]	R-HSA-428643	Organic anion transporters	Transp Sm Mol	10	8	0.8	SLC17A1|SLC17A5|SLC17A7|SLC17A8|SLC25A10|SLC25A18|SLC25A22|SLC5A5	SLC17A6|SLC5A8
549127 [Transp Sm Mol]	R-HSA-549127	Organic cation transport	Transp Sm Mol	10	10	1	RSC1A1|RUNX1|SLC22A1|SLC22A15|SLC22A16|SLC22A18|SLC22A2|SLC22A3|SLC22A4|SLC22A5	
549132 [Transp Sm Mol]	R-HSA-549132	Organic cation/anion/zwitterion transport	Transp Sm Mol	15	15	1	RSC1A1|RUNX1|SLC22A1|SLC22A11|SLC22A12|SLC22A15|SLC22A16|SLC22A18|SLC22A2|SLC22A3|SLC22A4|SLC22A5|SLC22A6|SLC22A7|SLC22A8	
449836 [Imm Sys]	R-HSA-449836	Other interleukin signaling	Imm Sys	26	24	0.923076923076923	CASP3|CD4|CSF1|CSF1R|CSF3|CSF3R|FLT3|FLT3LG|IFNLR1|IL10RB|IL16|IL32|IL34|JAK1|PTPRZ1|SDC1|SNAP25|STX1A|STX3|STX4|STXBP2|TXLNA|TYK2|VAMP2	IFNL1|PRTN3
416700 [Dev Biol]	R-HSA-416700	Other semaphorin interactions	Dev Biol	19	19	1	CD72|ITGA1|ITGB1|PLXNA1|PLXNA2|PLXNA4|PLXNB3|PLXNC1|PLXND1|PTPRC|SEMA3E|SEMA4A|SEMA4D|SEMA5A|SEMA6A|SEMA6D|SEMA7A|TREM2|TYROBP	
5689896 [Metab Prot]	R-HSA-5689896	Ovarian tumor domain proteases	Metab Prot	38	38	1	APC|CDK1|DDX58|ESR1|IFIH1|IKBKG|MAVS|NOD1|NOD2|OTUB1|OTUB2|OTUD3|OTUD5|OTUD7A|OTUD7B|PTEN|RHOA|RIPK1|RIPK2|RNF128|RNF135|RPS27A|TNFAIP3|TNIP1|TNIP2|TNIP3|TP53|TRAF3|TRAF6|TRIM25|UBA52|UBB|UBC|UBE2D1|VCP|VCPIP1|YOD1|ZRANB1	
2559580 [Cell Resp]	R-HSA-2559580	Oxidative Stress Induced Senescence	Cell Resp	95	92	0.968421052631579	AGO1|AGO3|AGO4|BMI1|CBX2|CBX4|CBX6|CBX8|CDK4|CDK6|CDKN2A|CDKN2B|CDKN2C|CDKN2D|E2F1|E2F2|E2F3|EED|EZH2|FOS|H2AFB1|H2AFJ|H2AFV|H2AFX|H2AFZ|H2BFS|H3F3A|HIST1H2AB|HIST1H2AC|HIST1H2AD|HIST1H2AJ|HIST1H2BA|HIST1H2BB|HIST1H2BC|HIST1H2BD|HIST1H2BH|HIST1H2BJ|HIST1H2BK|HIST1H2BL|HIST1H2BM|HIST1H2BN|HIST1H2BO|HIST1H3A|HIST1H4A|HIST2H2AA3|HIST2H2AC|HIST2H2BE|HIST2H3A|HIST3H2BB|JUN|KDM6B|MAP2K3|MAP2K4|MAP2K6|MAP2K7|MAP3K5|MAP4K4|MAPK1|MAPK10|MAPK11|MAPK14|MAPK3|MAPK8|MAPK9|MAPKAPK2|MAPKAPK3|MAPKAPK5|MDM2|MDM4|MINK1|MOV10|PHC1|PHC2|PHC3|RBBP4|RBBP7|RING1|RNF2|RPS27A|SCMH1|SUZ12|TFDP1|TFDP2|TNIK|TNRC6A|TNRC6B|TNRC6C|TP53|TXN|UBA52|UBB|UBC	IFNB1|MIR24-1|MIR24-2
1234176 [Cell Resp]	R-HSA-1234176	Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha	Cell Resp	66	65	0.984848484848485	AJUBA|CUL2|EGLN1|EGLN2|EGLN3|ELOB|ELOC|EPAS1|HIF1A|HIF3A|LIMD1|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMC1|PSMC2|PSMC3|PSMC4|PSMC5|PSMC6|PSMD1|PSMD10|PSMD11|PSMD12|PSMD13|PSMD14|PSMD2|PSMD3|PSMD4|PSMD5|PSMD6|PSMD7|PSMD8|PSMD9|PSME1|PSME2|PSME3|PSME4|PSMF1|RBX1|RPS27A|SEM1|UBA52|UBB|UBC|UBE2D1|UBE2D2|UBE2D3|VHL|WTIP	PSMB11
417957 [Sig Transd]	R-HSA-417957	P2Y receptors	Sig Transd	12	12	1	GPR17|LPAR4|LPAR6|P2RY1|P2RY10|P2RY11|P2RY12|P2RY13|P2RY14|P2RY2|P2RY4|P2RY6	
141334 [Metab]	R-HSA-141334	PAOs oxidise polyamines to amines	Metab	2	2	1	PAOX|SMOX	
5651801 [DNA Repair]	R-HSA-5651801	PCNA-Dependent Long Patch Base Excision Repair	DNA Repair	21	21	1	APEX1|FEN1|LIG1|PCNA|POLB|POLD1|POLD2|POLD3|POLD4|POLE|POLE2|POLE3|POLE4|RFC1|RFC2|RFC3|RFC4|RFC5|RPA1|RPA2|RPA3	
4086400 [Sig Transd]	R-HSA-4086400	PCP/CE pathway	Sig Transd	92	91	0.989130434782609	AP2A1|AP2A2|AP2B1|AP2M1|AP2S1|ARRB2|CLTA|CLTB|CLTC|DAAM1|DVL1|DVL2|DVL3|FZD1|FZD2|FZD3|FZD4|FZD5|FZD6|FZD7|FZD8|PARD6A|PFN1|PRICKLE1|PRKCA|PRKCB|PRKCG|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMC1|PSMC2|PSMC3|PSMC4|PSMC5|PSMC6|PSMD1|PSMD10|PSMD11|PSMD12|PSMD13|PSMD14|PSMD2|PSMD3|PSMD4|PSMD5|PSMD6|PSMD7|PSMD8|PSMD9|PSME1|PSME2|PSME3|PSME4|PSMF1|RAC1|RAC2|RAC3|RHOA|ROR1|ROR2|RPS27A|RYK|SCRIB|SEM1|SMURF1|SMURF2|UBA52|UBB|UBC|VANGL2|WNT1|WNT11|WNT4|WNT5A|WNT5B	PSMB11
389948 [Imm Sys]	R-HSA-389948	PD-1 signaling	Imm Sys	30	28	0.933333333333333	CD247|CD274|CD3D|CD3E|CD3G|CD4|CSK|HLA-DPA1|HLA-DPB1|HLA-DQA1|HLA-DQA2|HLA-DQB1|HLA-DQB2|HLA-DRA|HLA-DRB1|HLA-DRB5|LCK|PDCD1|PDCD1LG2|PTPN11|PTPN6|TRAC|TRAV19|TRAV29DV5|TRAV8-4|TRBC1|TRBV12-3|TRBV7-9	HLA-DRB3|HLA-DRB4
165160 [Sig Transd]	R-HSA-165160	PDE3B signalling	Sig Transd	2	2	1	AKT2|PDE3B	
210990 [Hemost]	R-HSA-210990	PECAM1 interactions	Hemost	12	12	1	FYN|INPP5D|ITGAV|ITGB3|LCK|LYN|PECAM1|PLCG1|PTPN11|PTPN6|SRC|YES1	
381042 [Metab Prot]	R-HSA-381042	PERK regulates gene expression	Metab Prot	31	30	0.967741935483871	ASNS|ATF3|ATF4|ATF6|CCL2|CXCL8|DCP2|DDIT3|DIS3|EIF2AK3|EIF2S1|EIF2S2|EIF2S3|EXOSC1|EXOSC2|EXOSC3|EXOSC4|EXOSC5|EXOSC6|EXOSC7|EXOSC8|EXOSC9|HERPUD1|HSPA5|IGFBP1|KHSRP|NFYA|NFYB|NFYC|PARN	IL8
1483255 [Metab]	R-HSA-1483255	PI Metabolism	Metab	84	84	1	ARF1|ARF3|BMX|ENPP6|FIG4|GDE1|GDPD1|GDPD3|GDPD5|INPP4A|INPP4B|INPP5D|INPP5E|INPP5F|INPP5J|INPP5K|INPPL1|MTM1|MTMR1|MTMR10|MTMR12|MTMR14|MTMR2|MTMR3|MTMR4|MTMR6|MTMR7|MTMR8|MTMR9|OCRL|PI4K2A|PI4K2B|PI4KA|PI4KB|PIK3C2A|PIK3C2B|PIK3C2G|PIK3C3|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PIK3R1|PIK3R2|PIK3R3|PIK3R4|PIK3R5|PIK3R6|PIKFYVE|PIP4K2A|PIP4K2B|PIP4K2C|PIP5K1A|PIP5K1B|PIP5K1C|PITPNB|PLEKHA1|PLEKHA2|PLEKHA3|PLEKHA4|PLEKHA5|PLEKHA6|PLEKHA8|PNPLA6|PNPLA7|PTEN|PTPN13|RAB14|RAB4A|RAB5A|RUFY1|SACM1L|SBF1|SBF2|SYNJ1|SYNJ2|TMEM55B|TNFAIP8|TNFAIP8L1|TNFAIP8L2|TNFAIP8L3|TPTE|TPTE2|VAC14	
1483196 [Metab]	R-HSA-1483196	PI and PC transport between ER and Golgi membranes	Metab	1	1	1	PITPNB	
5654689 [Sig Transd]	R-HSA-5654689	PI-3K cascade:FGFR1	Sig Transd	21	19	0.904761904761905	FGF1|FGF10|FGF17|FGF2|FGF20|FGF22|FGF23|FGF4|FGF5|FGF8|FGF9|FGFR1|FRS2|GAB1|GRB2|KL|PIK3CA|PIK3R1|PTPN11	FGF3|FGF6
5654695 [Sig Transd]	R-HSA-5654695	PI-3K cascade:FGFR2	Sig Transd	23	20	0.869565217391304	FGF1|FGF10|FGF17|FGF18|FGF2|FGF20|FGF22|FGF23|FGF4|FGF5|FGF7|FGF8|FGF9|FGFR2|FRS2|GAB1|GRB2|PIK3CA|PIK3R1|PTPN11	FGF16|FGF3|FGF6
5654710 [Sig Transd]	R-HSA-5654710	PI-3K cascade:FGFR3	Sig Transd	18	17	0.944444444444444	FGF1|FGF17|FGF18|FGF2|FGF20|FGF23|FGF4|FGF5|FGF8|FGF9|FGFR3|FRS2|GAB1|GRB2|PIK3CA|PIK3R1|PTPN11	FGF16
5654720 [Sig Transd]	R-HSA-5654720	PI-3K cascade:FGFR4	Sig Transd	20	18	0.9	FGF1|FGF17|FGF18|FGF19|FGF2|FGF20|FGF23|FGF4|FGF8|FGF9|FGFR4|FRS2|GAB1|GRB2|KLB|PIK3CA|PIK3R1|PTPN11	FGF16|FGF6
109704 [Sig Transd]	R-HSA-109704	PI3K Cascade	Sig Transd	44	41	0.931818181818182	AKT2|FGF1|FGF10|FGF17|FGF18|FGF19|FGF2|FGF20|FGF22|FGF23|FGF4|FGF5|FGF7|FGF8|FGF9|FGFR1|FGFR2|FGFR3|FGFR4|FLT3|FLT3LG|FRS2|GAB1|GAB2|GRB2|IRS1|IRS2|KL|KLB|PDE3B|PDPK1|PIK3C3|PIK3CA|PIK3CB|PIK3R1|PIK3R2|PIK3R4|PTPN11|THEM4|TLR9|TRIB3	FGF16|FGF3|FGF6
1963642 [Sig Transd]	R-HSA-1963642	PI3K events in ERBB2 signaling	Sig Transd	16	16	1	BTC|EGF|EGFR|ERBB2|ERBB3|ERBB4|EREG|GAB1|GRB2|HBEGF|NRG1|NRG2|NRG3|NRG4|PIK3CA|PIK3R1	
1250342 [Sig Transd]	R-HSA-1250342	PI3K events in ERBB4 signaling	Sig Transd	10	10	1	BTC|ERBB4|EREG|HBEGF|NRG1|NRG2|NRG3|NRG4|PIK3CA|PIK3R1	
2219528 [Disease]	R-HSA-2219528	PI3K/AKT Signaling in Cancer	Disease	102	99	0.970588235294118	AKT1|AKT1S1|AKT2|AKT3|AREG|BAD|BTC|CASP9|CD19|CD28|CD80|CD86|CDKN1A|CDKN1B|CHUK|CREB1|EGF|EGFR|EPGN|ERBB2|ERBB3|ERBB4|EREG|ESR1|ESR2|FGF1|FGF10|FGF17|FGF18|FGF19|FGF2|FGF20|FGF22|FGF23|FGF4|FGF5|FGF7|FGF8|FGF9|FGFR1|FGFR2|FGFR3|FGFR4|FOXO1|FOXO3|FOXO4|FOXO6|FRS2|FYN|GAB1|GRB2|GSK3A|GSK3B|HBEGF|HGF|ICOS|IRS1|IRS2|KIT|KITLG|KL|KLB|LCK|MAPKAP1|MDM2|MET|MLST8|MTOR|NR4A1|NRG1|NRG2|NRG3|NRG4|PDGFA|PDGFB|PDGFRA|PDGFRB|PDPK1|PIK3AP1|PIK3CA|PIK3CB|PIK3CD|PIK3R1|PIK3R2|PIK3R3|PRR5|PTEN|PTPN11|RAC1|RAC2|RHOG|RICTOR|RPS6KB2|SRC|STRN|TGFA|TRAT1|TSC2|VAV1	FGF16|FGF3|FGF6
198203 [Sig Transd]	R-HSA-198203	PI3K/AKT activation	Sig Transd	9	9	1	IRS1|IRS2|NGF|NTRK1|PIK3CA|PIK3CB|PIK3R1|PIK3R2|RHOA	
6811555 [Gene Expr]	R-HSA-6811555	PI5P Regulates TP53 Acetylation	Gene Expr	9	9	1	EP300|ING2|MAP2K6|PIN1|PIP4K2A|PIP4K2B|PIP4K2C|TMEM55B|TP53	
6811558 [Sig Transd]	R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	Sig Transd	103	99	0.961165048543689	AKT1|AREG|BTC|CD19|CD28|CD80|CD86|EGF|EGFR|EPGN|ERBB2|ERBB3|ERBB4|EREG|ESR1|ESR2|FGF1|FGF10|FGF17|FGF18|FGF19|FGF2|FGF20|FGF22|FGF23|FGF4|FGF5|FGF7|FGF8|FGF9|FGFR1|FGFR2|FGFR3|FGFR4|FRS2|FYN|GAB1|GRB2|HBEGF|HGF|ICOS|IER3|IL1RAP|IL1RL1|IL33|INSR|IRAK1|IRAK4|IRS1|IRS2|KIT|KITLG|KL|KLB|LCK|MAPK1|MAPK3|MET|MYD88|NRG1|NRG2|NRG3|NRG4|PDGFA|PDGFB|PDGFRA|PDGFRB|PIK3AP1|PIK3CA|PIK3CB|PIK3CD|PIK3R1|PIK3R2|PIK3R3|PIP4K2A|PIP4K2B|PIP4K2C|PIP5K1A|PIP5K1B|PIP5K1C|PPP2CA|PPP2CB|PPP2R1A|PPP2R1B|PPP2R5A|PPP2R5B|PPP2R5C|PPP2R5D|PPP2R5E|PTPN11|RAC1|RAC2|RHOG|SRC|STRN|TGFA|TRAF6|TRAT1|VAV1	FGF16|FGF3|FGF6|INS
1257604 [Sig Transd]	R-HSA-1257604	PIP3 activates AKT signaling	Sig Transd	283	262	0.925795053003534	AGO1|AGO2|AGO3|AGO4|AKT1|AKT1S1|AKT2|AKT3|AREG|ATF2|ATN1|BAD|BMI1|BTC|CASP9|CBX2|CBX4|CBX6|CBX8|CD19|CD28|CD80|CD86|CDKN1A|CDKN1B|CHD3|CHD4|CHUK|CNOT6L|CREB1|CSNK2A1|CSNK2A2|CSNK2B|EED|EGF|EGFR|EGR1|EPGN|ERBB2|ERBB3|ERBB4|EREG|ESR1|ESR2|EZH2|FGF1|FGF10|FGF17|FGF18|FGF19|FGF2|FGF20|FGF22|FGF23|FGF4|FGF5|FGF7|FGF8|FGF9|FGFR1|FGFR2|FGFR3|FGFR4|FOXO1|FOXO3|FOXO4|FOXO6|FRK|FRS2|FYN|GAB1|GATAD2A|GATAD2B|GRB2|GSK3A|GSK3B|HBEGF|HDAC1|HDAC2|HDAC3|HDAC5|HDAC7|HGF|ICOS|IER3|IL1RAP|IL1RL1|IL33|INSR|IRAK1|IRAK4|IRS1|IRS2|JUN|KDM1A|KIT|KITLG|KL|KLB|LAMTOR1|LAMTOR2|LAMTOR3|LAMTOR4|LAMTOR5|LCK|MAF1|MAPK1|MAPK3|MAPKAP1|MBD3|MDM2|MECOM|MET|MKRN1|MLST8|MOV10|MTA1|MTA2|MTA3|MTOR|MYD88|NEDD4|NR2E1|NR4A1|NRG1|NRG2|NRG3|NRG4|OTUD3|PDGFA|PDGFB|PDGFRA|PDGFRB|PDPK1|PHC1|PHC2|PHC3|PHLPP1|PHLPP2|PIK3AP1|PIK3CA|PIK3CB|PIK3CD|PIK3R1|PIK3R2|PIK3R3|PIP4K2A|PIP4K2B|PIP4K2C|PIP5K1A|PIP5K1B|PIP5K1C|PML|PPARG|PPP2CA|PPP2CB|PPP2R1A|PPP2R1B|PPP2R5A|PPP2R5B|PPP2R5C|PPP2R5D|PPP2R5E|PREX2|PRR5|PSMA1|PSMA2|PSMA3|PSMA4|PSMA5|PSMA6|PSMA7|PSMA8|PSMB1|PSMB10|PSMB2|PSMB3|PSMB4|PSMB5|PSMB6|PSMB7|PSMB8|PSMB9|PSMC1|PSMC2|PSMC3|PSMC4|PSMC5|PSMC6|PSMD1|PSMD10|PSMD11|PSMD12|PSMD13|PSMD14|PSMD2|PSMD3|PSMD4|PSMD5|PSMD6|PSMD7|PSMD8|PSMD9|PSME1|PSME2|PSME3|PSME4|PSMF1|PTEN|PTENP1|PTPN11|RAC1|RAC2|RBBP4|RBBP7|RCOR1|REST|RHEB|RHOG|RICTOR|RING1|RNF146|RNF2|RPS27A|RPS6KB2|RPTOR|RRAGA|RRAGB|RRAGC|RRAGD|SALL4|SCMH1|SEM1|SLC38A9|SNAI1|SNAI2|SRC|STRN|STUB1|SUZ12|TGFA|THEM4|TNKS|TNKS2|TNRC6A|TNRC6B|TNRC6C|TP53|TRAF6|TRAT1|TRIB3|TRIM27|TSC2|UBA52|UBB|UBC|USP13|USP7|VAPA|VAV1|WWP2|XIAP	FGF16|FGF3|FGF6|INS|MIR106A|MIR106B|MIR17|MIR19A|MIR19B1|MIR19B2|MIR205|MIR20A|MIR20B|MIR21|MIR214|MIR22|MIR25|MIR26A1|MIR26A2|MIR93|PSMB11
5601884 [Gene Expr]	R-HSA-5601884	PIWI-interacting RNA (piRNA) biogenesis	Gene Expr	29	28	0.96551724137931	ASZ1|DDX4|HENMT1|HSP90AA1|MAEL|MOV10L1|MYBL1|PIWIL1|PIWIL2|PIWIL4|PLD6|POLR2A|POLR2B|POLR2C|POLR2D|POLR2E|POLR2F|POLR2G|POLR2H|POLR2I|POLR2J|POLR2K|POLR2L|TDRD1|TDRD12|TDRD6|TDRD9|TDRKH	FKBP6
163615 [Sig Transd]	R-HSA-163615	PKA activation	Sig Transd	17	16	0.941176470588235	ADCY1|ADCY2|ADCY3|ADCY4|ADCY5|ADCY6|ADCY7|ADCY8|ADCY9|CALM1|PRKACA|PRKACB|PRKAR1A|PRKAR1B|PRKAR2A|PRKAR2B	PRKACG
164378 [Metab]	R-HSA-164378	PKA activation in glucagon signalling	Metab	17	16	0.941176470588235	ADCY1|ADCY2|ADCY3|ADCY4|ADCY5|ADCY6|ADCY7|ADCY8|ADCY9|GNAS|PRKACA|PRKACB|PRKAR1A|PRKAR1B|PRKAR2A|PRKAR2B	PRKACG
111931 [Sig Transd]	R-HSA-111931	PKA-mediated phosphorylation of CREB	Sig Transd	19	18	0.947368421052632	ADCY1|ADCY2|ADCY3|ADCY4|ADCY5|ADCY6|ADCY7|ADCY8|ADCY9|CALM1|CREB1|PRKACA|PRKACB|PRKAR1A|PRKAR1B|PRKAR2A|PRKAR2B|PRKX	PRKACG
163358 [Metab]	R-HSA-163358	PKA-mediated phosphorylation of key metabolic factors	Metab	5	4	0.8	MLXIPL|PFKFB1|PRKACA|PRKACB	PRKACG
109703 [Sig Transd]	R-HSA-109703	PKB-mediated events	Sig Transd	2	2	1	AKT2|PDE3B	
3214841 [Chr Org]	R-HSA-3214841	PKMTs methylate histone lysines	Chr Org	47	47	1	AEBP2|ASH1L|ASH2L|ATF7IP|DOT1L|DPY30|EED|EHMT1|EHMT2|EZH2|HIST1H3A|HIST1H4A|HIST2H3A|KMT2A|KMT2B|KMT2C|KMT2D|KMT2E|KMT5A|KMT5B|KMT5C|MECOM|NFKB1|NFKB2|NSD1|NSD2|NSD3|PRDM16|PRDM9|RBBP4|RBBP5|RBBP7|RELA|SETD1A|SETD1B|SETD2|SETD3|SETD6|SETD7|SETDB1|SETDB2|SMYD2|SMYD3|SUV39H1|SUV39H2|SUZ12|WDR5	
112043 [Sig Transd]	R-HSA-112043	PLC beta mediated events	Sig Transd	52	50	0.961538461538462	ADCY1|ADCY2|ADCY3|ADCY4|ADCY5|ADCY6|ADCY7|ADCY8|ADCY9|AHCYL1|CALM1|CAMK2A|CAMK2B|CAMK2D|CAMK2G|CAMK4|CAMKK1|CAMKK2|CREB1|GNAI1|GNAI2|GNAI3|GNAO1|GNAT1|GNAT2|GNAZ|GRK2|ITPR1|ITPR2|ITPR3|KPNA2|MAPK1|PDE1A|PDE1B|PDE1C|PLA2G4A|PLCB1|PLCB2|PLCB3|PLCB4|PRKACA|PRKACB|PRKAR1A|PRKAR1B|PRKAR2A|PRKAR2B|PRKCA|PRKCD|PRKCG|PRKX	GNAT3|PRKACG
167021 [Sig Transd]	R-HSA-167021	PLC-gamma1 signalling	Sig Transd	3	3	1	NGF|NTRK1|PLCG1	
1251932 [Sig Transd]	R-HSA-1251932	PLCG1 events in ERBB2 signaling	Sig Transd	4	4	1	EGF|EGFR|ERBB2|PLCG1	
