gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
IL18BP	747702	311	59	107920	28400	0	1	0	0	50	63	3313712	8.640225e-01	1
SYMPK	883734	203	39	642550	194327	0	12	1	0	16	21	1402960	8.640807e-01	1
SFTPC	587455	196	50	100678	30956	0	1	1	0	50	85	4006175	8.641708e-01	1
IL12RB2	454381	466	-4	443608	120629	0	6	3	0	10	14	1019631	8.641917e-01	1
KDELC1	195534	475	24	262700	66385	0	2	1	0	50	47	3384357	8.642405e-01	1
C11orf68	3779084	287	42	141503	47641	0	3	2	0	23	71	2085270	8.642806e-01	1
SLC7A10	380625	270	-9	260570	83212	0	3	1	0	15	16	1189321	8.642886e-01	1
TNFRSF13C	1335011	323	67	86478	33867	0	1	0	0	50	77	3190882	8.643281e-01	1
CXCL16	1272092	222	28	136675	43097	0	2	1	0	50	111	4765094	8.643577e-01	1
SLC6A2	130705	565	-32	341084	97270	0	6	3	0	50	82	4464338	8.644198e-01	1
SSBP4	1384225	259	42	203060	58078	0	3	0	0	6	11	669530	8.644299e-01	1
GSC2	487560	277	18	98193	34932	0	6	2	0	4	10	250417	8.644541e-01	1
CCPG1	267069	396	11	396322	94004	0	4	1	0	12	32	1583371	8.645157e-01	1
MYO9B	945446	330	36	1098228	316518	0	18	2	0	1	3	380773	8.645259e-01	1
KLHL1	4513	1341	-27	382264	104867	0	5	1	0	6	3	364443	8.645986e-01	1
XPNPEP2	358809	NaN	48	351947	96418	0	5	0	0	33	49	3293832	8.646492e-01	1
FGFRL1	689217	247	58	247222	81011	0	9	5	0	9	22	787248	8.646782e-01	1
LRRC14	1755818	291	7	235720	81650	0	6	2	0	40	93	3873192	8.647238e-01	1
TRPV2	829707	254	8	385743	114168	0	7	3	0	6	10	787532	8.647345e-01	1
FAM71A	409070	224	26	290745	89460	0	3	0	0	24	28	2160033	8.647540e-01	1
PPARG	372685	222	25	260854	68018	0	2	0	0	18	19	1527849	8.647847e-01	1
CASC1	255116	633	18	410309	103021	0	7	4	0	4	5	266463	8.648191e-01	1
SPNS2	1252775	318	22	272214	89460	0	7	3	0	32	55	2532996	8.648250e-01	1
QKI	81134	1131	1	192552	52824	0	1	1	0	50	55	3902373	8.648433e-01	1
CCNB1	420987	273	30	221307	62835	0	3	1	0	30	63	2811103	8.649393e-01	1
MVD	802673	189	41	201356	62977	0	6	5	0	7	7	338457	8.650524e-01	1
RHOG	425863	258	23	94288	29252	0	3	2	0	7	10	371046	8.650928e-01	1
YY1AP1	2262876	167	29	411658	119351	0	6	2	0	22	31	1914870	8.651111e-01	1
PRX	1008676	202	34	702474	248145	0	22	13	0	21	55	1640029	8.651912e-01	1
PLEKHB2	461881	331	16	117647	30814	0	1	1	0	33	32	2159039	8.652073e-01	1
NFKBIZ	550073	421	16	366005	102808	0	8	0	0	3	7	524974	8.652155e-01	1
ACD	1065785	147	41	271078	90170	0	1	1	0	50	75	5618372	8.652526e-01	1
DPP7	1722012	202	36	250204	75473	0	4	0	0	24	46	2206680	8.653875e-01	1
CD96	186134	406	-16	307146	79236	0	3	1	0	50	64	4077956	8.654332e-01	1
TMCC2	690215	169	34	347758	109340	0	5	1	0	50	54	4278886	8.654749e-01	1
PRCP	306726	371	-6	266463	72207	0	2	0	0	29	35	2534416	8.655961e-01	1
DNAJC13	210456	538	14	1177606	303170	0	26	4	0	1	5	376087	8.657919e-01	1
ERICH1	106263	889	-34	228975	59427	0	3	2	0	50	58	3262592	8.658014e-01	1
CLCA2	248812	762	-13	482090	132202	0	8	2	0	11	11	665412	8.658662e-01	1
GCA	70731	856	-5	117079	28187	0	1	1	0	50	87	4231387	8.659108e-01	1
RASSF3	450247	476	17	124818	31311	0	1	0	0	50	80	4150447	8.659266e-01	1
RAB21	260669	431	-3	118073	31453	0	1	0	0	50	71	4013417	8.659735e-01	1
PEX14	819616	392	27	193617	55167	0	7	4	0	3	11	292023	8.661822e-01	1
STAU2	261922	447	16	320849	85342	0	3	1	0	29	37	2660299	8.663188e-01	1
TECPR1	464632	375	26	597323	168199	0	10	4	0	17	15	952323	8.663387e-01	1
BCL2L10	540700	195	21	98619	33654	0	1	0	0	50	51	3769532	8.664120e-01	1
RBM10	819569	NaN	38	480812	132841	0	7	2	0	23	25	1621640	8.664454e-01	1
SMOX	784685	231	26	295928	84490	0	7	3	0	37	85	3708472	8.665921e-01	1
PLAT	580110	382	45	293727	77106	0	7	1	0	16	47	1911959	8.666044e-01	1
THBS1	467443	433	-5	609038	157123	0	14	5	0	10	11	774042	8.667377e-01	1
ZNF286B	NaN	NaN	NaN	269516	67237	0	3	1	0	50	159	7974081	8.668119e-01	1
ANO8	842088	211	43	609819	192552	0	12	2	0	9	9	609393	8.669603e-01	1
UHRF1BP1L	184820	559	7	761404	196457	0	11	2	0	1	2	246867	8.669680e-01	1
ATG2A	3218288	209	61	965458	307643	0	17	3	0	49	63	4153145	8.670057e-01	1
ZNF410	502038	155	50	246796	67805	0	3	0	0	23	28	1726649	8.670123e-01	1
IGSF6	NaN	NaN	NaN	124534	34790	0	1	0	0	50	158	7941634	8.670930e-01	1
NXF3	456169	NaN	16	288189	68373	0	2	0	0	41	42	3251729	8.671007e-01	1
RUFY2	740263	294	23	362739	86904	0	1	2	0	22	39	2811245	8.673021e-01	1
NFKBID	1060028	321	47	154567	52895	0	2	0	0	50	68	3848697	8.673198e-01	1
RPL6	715909	201	31	147964	41819	0	1	1	0	50	52	3502785	8.674164e-01	1
PXDNL	62919	1068	-16	741879	212787	0	11	3	0	23	30	2083495	8.674190e-01	1
PLEKHF1	222973	612	-63	137740	42032	0	4	0	0	23	40	1793744	8.674911e-01	1
ARSJ	100364	497	15	299549	84703	0	5	0	0	12	16	938762	8.675197e-01	1
CPT1C	1716449	192	41	407398	121694	0	7	2	0	50	80	4949907	8.675264e-01	1
ZNF575	416043	209	-10	120061	38837	0	2	1	0	50	79	4258580	8.675346e-01	1
OR1K1	433740	487	10	150520	51830	0	3	3	0	7	12	553232	8.676374e-01	1
WLS	331085	524	-20	304448	77674	0	3	2	0	50	88	5481129	8.676475e-01	1
GH2	1446139	380	27	175725	40470	0	2	0	0	49	67	3684971	8.676751e-01	1
JAG2	872033	260	25	635450	177571	0	20	9	0	24	53	2118569	8.676958e-01	1
SLC6A9	875223	214	39	362881	107636	0	7	3	0	50	74	3968474	8.677018e-01	1
PCGF2	1158356	207	39	176435	52114	0	4	0	0	3	1	225425	8.678322e-01	1
ANKRD34A	NaN	NaN	NaN	231815	85768	0	3	1	0	50	159	7992612	8.678435e-01	1
MTF1	445066	303	33	379211	111115	0	6	4	0	49	63	3113492	8.679461e-01	1
TRIM44	605264	411	-6	181405	42458	0	3	0	0	5	1	198729	8.679581e-01	1
COL17A1	455010	271	19	772409	231673	0	13	3	0	4	6	442685	8.679746e-01	1
CYB561D2	843769	206	51	106429	38624	0	1	1	0	50	84	4083068	8.680797e-01	1
RP1	148553	735	-8	1092619	288260	0	12	5	0	25	32	2395043	8.680957e-01	1
RPL15	399346	319	6	102524	31027	0	1	0	0	50	72	4455818	8.682337e-01	1
SHISA7	NaN	NaN	NaN	252405	94572	0	5	3	0	50	161	8001416	8.682701e-01	1
SPINK13	72574	418	-9	52540	11573	0	1	1	0	5	12	334410	8.682833e-01	1
YME1L1	389022	551	30	403280	107494	0	2	0	0	18	17	2114096	8.683662e-01	1
SLC22A2	653647	326	-9	282012	81792	0	4	2	0	45	64	3446340	8.684472e-01	1
NUDT10	112254	NaN	3	83283	24069	0	1	1	0	41	58	3109374	8.685403e-01	1
TMEM121	689089	298	41	150662	53818	0	3	3	0	22	29	1713088	8.686560e-01	1
FTCD	742075	538	10	271646	87046	0	14	5	0	6	14	423586	8.687033e-01	1
DDX50	897697	246	45	379495	104015	0	3	1	0	19	28	2445311	8.687099e-01	1
KDM2B	650760	244	46	697646	193546	0	17	7	0	19	36	1816748	8.687302e-01	1
SPRED2	545446	346	36	217402	58646	0	2	1	0	26	45	2398238	8.687339e-01	1
ESRP2	910198	281	30	354148	116582	0	4	1	0	5	3	473428	8.688059e-01	1
PDCD6IP	293448	409	9	449572	123398	0	10	1	0	8	12	582271	8.689502e-01	1
RFXANK	940952	232	17	133551	40044	0	2	0	0	28	59	2743156	8.689605e-01	1
FHIT	36866	1126	5	78668	21016	0	1	1	0	8	12	628279	8.689657e-01	1
DUSP18	723012	330	56	94927	26696	0	1	2	0	4	5	216337	8.690164e-01	1
PLA2G2D	567393	501	23	77248	19028	0	2	1	0	8	22	564379	8.690650e-01	1
LDHD	681970	162	22	253328	80230	0	4	2	0	9	9	626078	8.691807e-01	1
ZNF548	451095	869	-24	283858	67592	0	1	0	0	31	21	2069011	8.692119e-01	1
HAL	366272	436	8	340587	96915	0	6	3	0	14	16	669246	8.692365e-01	1
RNF135	585832	178	25	231460	63332	0	3	1	0	50	67	4162233	8.692743e-01	1
PHF7	1078407	229	62	205616	47002	0	5	4	0	5	17	394547	8.694780e-01	1
ARHGAP8	NaN	NaN	NaN	250417	71639	0	1	0	0	27	39	2602008	8.694932e-01	1
HSD17B10	920771	NaN	70	130001	42103	0	1	0	0	50	61	4142495	8.695114e-01	1
ABCB9	1093113	196	47	380702	118783	0	12	0	0	1	0	179346	8.695656e-01	1
YLPM1	878419	232	43	1078987	309986	0	10	2	0	3	3	562675	8.695748e-01	1
MPPE1	323758	148	39	204693	56658	0	2	1	0	50	62	3689728	8.697805e-01	1
ZNF358	609287	308	36	272498	92371	0	6	3	0	23	41	1782100	8.698158e-01	1
ANAPC5	959300	258	39	392062	104654	0	9	1	0	16	38	1700237	8.699144e-01	1
SCO2	1075525	207	42	128865	43026	0	2	0	0	50	99	4271573	8.699239e-01	1
AFTPH	532219	332	21	479037	128013	0	6	1	0	14	30	1960949	8.699557e-01	1
TOP2A	1220026	191	23	810039	197877	0	14	2	0	1	3	248855	8.699945e-01	1
ATP8B3	2180359	206	29	675281	189286	0	10	4	0	47	81	4129502	8.700789e-01	1
OR11A1	329776	872	7	152295	50055	0	5	2	0	3	6	189073	8.701745e-01	1
TLR9	1114737	181	52	498420	162519	0	16	7	0	13	26	1088146	8.702662e-01	1
PAX7	520847	598	28	280592	83851	0	5	2	0	50	90	4581630	8.702978e-01	1
EPB41L4B	337644	371	15	490042	138947	0	5	0	0	9	7	797259	8.703123e-01	1
FSD2	490130	631	17	389577	100323	0	6	0	0	17	22	1350704	8.703221e-01	1
CCDC149	280003	621	34	274628	74266	0	4	3	0	22	23	1015868	8.704131e-01	1
ZNF462	259213	625	-7	1270545	341652	0	24	5	0	19	39	2586885	8.704760e-01	1
BAALC	461588	584	15	74053	20945	0	1	0	0	50	92	3950653	8.704821e-01	1
DIS3	257535	685	2	511697	133480	0	7	4	0	50	76	3661683	8.705274e-01	1
EDC3	635020	206	51	257375	72988	0	8	5	0	7	15	458589	8.705699e-01	1
ARSD	191640	NaN	18	325251	94572	0	7	1	0	50	83	4133407	8.705797e-01	1
MMP26	97256	1024	-11	137598	34506	0	1	0	0	50	95	5050727	8.705948e-01	1
MAGI2	17425	1055	-24	735489	212787	0	18	5	0	3	8	456743	8.707293e-01	1
ZNF33B	204176	890	-35	406617	94572	0	3	1	0	14	12	902552	8.707584e-01	1
CFP	775214	NaN	38	239767	68657	0	4	3	0	29	36	1983101	8.707658e-01	1
FAM186A	NaN	NaN	NaN	1172139	337179	0	18	11	0	30	67	3460327	8.707892e-01	1
HSPA6	741254	448	41	313678	97838	0	5	4	0	14	10	885157	8.707965e-01	1
ZNF546	1181917	521	22	433455	105648	0	5	2	0	50	79	4570980	8.709492e-01	1
HRASLS5	887496	459	31	145834	37346	0	1	0	0	50	60	4497211	8.709537e-01	1
ZNF512	1192074	306	43	298058	76396	0	3	1	0	36	94	4621035	8.710028e-01	1
KIAA1328	99312	893	-1	298697	78739	0	2	1	0	50	60	4465900	8.710104e-01	1
PIK3CB	281611	424	26	558699	143136	0	7	9	0	15	30	1035180	8.710861e-01	1
TOR1B	600401	187	44	170613	48564	0	2	1	0	50	77	4271928	8.710962e-01	1
NOD1	623997	400	37	477262	140864	0	9	4	0	45	72	3600623	8.711218e-01	1
SENP3	1957426	194	24	290816	85342	0	3	0	0	18	27	1607582	8.711887e-01	1
GPN2	1025094	188	34	155774	46363	0	3	1	0	50	95	3682344	8.712325e-01	1
WDR74	2342595	181	71	198374	58078	0	4	2	0	50	115	4842413	8.713021e-01	1
MAML2	272830	409	6	578934	163797	0	8	1	0	3	2	428911	8.713829e-01	1
MYH1	76487	723	-50	1017075	254961	0	13	5	0	22	41	2748268	8.714035e-01	1
CCDC33	604483	222	45	431041	123398	0	4	1	0	4	9	683588	8.714462e-01	1
ZNF207	679038	286	30	253612	72065	0	2	1	0	50	98	4258793	8.714843e-01	1
KCNK7	3945819	202	45	161241	58788	0	3	1	0	1	3	300046	8.715115e-01	1
MRGPRX4	631291	436	20	155703	51120	0	1	0	0	50	74	4947493	8.715486e-01	1
GEMIN8	121538	NaN	35	126593	31240	0	1	0	0	50	65	4134117	8.715787e-01	1
NSUN3	85578	1378	-9	174589	47570	0	2	1	0	25	59	2438140	8.716629e-01	1
CIDEC	950574	170	54	120913	36068	0	3	2	0	2	10	226774	8.717541e-01	1
KCNA1	260795	903	12	246228	70716	0	3	2	0	50	73	4050976	8.718123e-01	1
PID1	105238	675	-12	133338	35145	0	2	1	0	8	14	709503	8.718739e-01	1
MCM3	313097	427	23	416131	114452	0	15	0	0	2	2	236572	8.719174e-01	1
SALL4	166846	214	-9	518584	157904	0	13	5	0	5	9	476836	8.719555e-01	1
LRRC56	1970020	236	42	266250	90099	0	6	2	0	50	84	4040468	8.719603e-01	1
GLUD1	397715	144	35	287621	79804	0	4	0	0	9	11	857041	8.719702e-01	1
KIAA1147	213663	781	17	232738	65462	0	5	2	0	24	40	1892647	8.720316e-01	1
PLEKHA5	149622	577	-29	639568	163655	0	9	2	0	10	27	1570094	8.720653e-01	1
PPM1D	288701	328	15	302318	89176	0	6	0	0	5	14	699776	8.721056e-01	1
KPNA2	779255	283	1	270226	76964	0	2	0	0	10	10	970712	8.722331e-01	1
OR52A5	109516	1024	-15	156342	46008	0	2	1	0	9	14	637296	8.723369e-01	1
PXDN	55677	536	-18	746494	218396	0	26	7	0	3	12	630693	8.723996e-01	1
SHC3	207531	633	8	300543	89034	0	4	2	0	13	13	1076857	8.725310e-01	1
VPS11	1390854	195	58	484859	130072	0	11	4	0	8	21	805211	8.725894e-01	1
SLC4A8	527734	331	43	573680	156910	0	14	0	0	0	0	156910	8.726378e-01	1
NCR2	338294	510	40	138521	42742	0	1	1	0	50	62	3538498	8.726467e-01	1
CSF3	1652518	216	28	103873	32447	0	1	0	0	50	91	4526463	8.728506e-01	1
CKAP2	345539	356	45	350243	93649	0	5	3	0	9	7	494941	8.728777e-01	1
TSNAX	291493	439	14	152934	37275	0	2	0	0	7	9	472931	8.728781e-01	1
PNN	314417	166	13	373247	92797	0	2	1	0	23	30	1978202	8.729209e-01	1
VSIG4	317695	NaN	42	204196	57794	0	2	1	0	50	69	3891510	8.729538e-01	1
SULT1A2	1141256	269	53	155419	40115	0	3	1	0	8	5	335759	8.729694e-01	1
CPSF6	758784	353	3	273989	86407	0	4	1	0	50	71	3802902	8.730464e-01	1
PCDHA2	861651	606	2	473570	153928	0	7	4	0	41	55	3249528	8.730521e-01	1
LENEP	1612870	224	35	30814	10082	0	1	1	0	2	3	117718	8.730709e-01	1
FUCA1	903441	254	32	238986	65817	0	3	1	0	50	59	3621426	8.730787e-01	1
COL22A1	5667	846	-22	828428	265753	0	20	10	0	5	12	628066	8.731120e-01	1
UNK	1806586	178	31	449430	130995	0	11	3	0	14	35	1324647	8.731315e-01	1
C14orf93	1240941	185	38	267173	81508	0	7	2	0	6	8	451489	8.731567e-01	1
TIMP4	348401	238	23	116227	30956	0	1	0	0	50	78	4054526	8.732601e-01	1
P2RX6	577297	192	58	226916	65320	0	5	0	0	5	12	493521	8.733888e-01	1
NCCRP1	1652029	286	26	135681	45369	0	2	2	0	36	46	2773047	8.734799e-01	1
TXNDC15	727517	696	49	181334	52753	0	1	1	0	50	64	4351661	8.736138e-01	1
TRIM6	NaN	NaN	NaN	262345	73982	0	3	3	0	30	59	3197130	8.739112e-01	1
GALNTL5	309129	476	12	231673	58859	0	2	1	0	33	50	2752528	8.739452e-01	1
POLR1C	1278255	230	56	197025	55593	0	3	0	0	26	46	2177357	8.739962e-01	1
SEC24B	202883	438	21	643686	187227	0	10	2	0	3	3	466754	8.740573e-01	1
ZFAND3	303392	630	32	118783	31169	0	1	0	0	50	48	3243351	8.740778e-01	1
STEAP4	155853	454	-6	229117	68231	0	2	0	0	18	18	1249458	8.741924e-01	1
DTX1	562320	387	44	305229	98406	0	14	3	0	18	46	1672405	8.742029e-01	1
DZIP3	172270	941	0	644396	155419	0	7	2	0	33	43	3204656	8.742556e-01	1
FAM69A	609398	372	13	221378	56587	0	1	1	0	50	52	4102806	8.742599e-01	1
GRIN3A	111816	1063	-27	558131	161809	0	8	3	0	30	85	4380842	8.742621e-01	1
OR2A2	221024	812	-11	155703	47712	0	1	1	0	50	74	4002270	8.743936e-01	1
EIF5	941484	175	37	228336	55380	0	2	0	0	13	24	1583868	8.744077e-01	1
TAS2R14	363803	644	2	157478	45511	0	1	1	0	50	74	4102877	8.744517e-01	1
LRPAP1	475773	609	54	184600	50552	0	8	0	0	3	5	180979	8.745001e-01	1
PNMA2	194700	452	14	179701	53534	0	4	2	0	19	48	1763072	8.745714e-01	1
TAPBP	1456953	262	30	247506	83283	0	4	2	0	50	79	4177285	8.746000e-01	1
SHROOM1	718028	356	58	407185	143846	0	8	3	0	50	64	3491354	8.746767e-01	1
PLXNA1	422395	494	48	947424	290319	0	40	13	0	7	20	750399	8.747033e-01	1
TPRN	1722012	202	36	324044	111541	0	8	4	0	26	58	2511696	8.747269e-01	1
PSG11	263820	178	-32	170258	48706	0	1	0	0	50	54	3933400	8.747621e-01	1
KRT20	1036346	358	5	218183	59782	0	4	2	0	24	33	1331747	8.748098e-01	1
TKT	782559	192	54	320565	90099	0	9	4	0	15	35	1230146	8.748743e-01	1
FAM181A	242993	645	15	172601	55096	0	2	2	0	20	49	2698071	8.749107e-01	1
ANKLE2	779125	601	32	472789	137882	0	10	2	0	4	15	701906	8.749532e-01	1
AHCYL2	776656	420	44	338386	91874	0	3	0	0	10	11	864496	8.749615e-01	1
CDK3	1639614	194	22	156129	45369	0	2	1	0	50	113	4940038	8.749749e-01	1
INSIG1	263493	NaN	14	172246	44375	0	1	1	0	50	76	4235079	8.750366e-01	1
GRAP2	842645	411	34	171465	46008	0	11	2	0	1	3	97128	8.750548e-01	1
MRPS24	872910	239	44	84774	25560	0	1	0	0	50	92	4512831	8.750928e-01	1
CCDC40	663665	237	27	587667	159324	0	15	3	0	5	12	620469	8.751218e-01	1
ATP2B3	940418	NaN	24	641911	188150	0	18	10	0	16	40	1209130	8.751571e-01	1
TSNAXIP1	1039476	143	49	346196	87259	0	1	1	0	50	54	4038409	8.752435e-01	1
ELP3	417570	338	41	284994	77106	0	2	2	0	41	76	3476799	8.752678e-01	1
HNF1B	553994	403	28	284426	78952	0	8	4	0	5	10	505875	8.753145e-01	1
MCTP2	46228	457	-17	472931	122830	0	5	3	0	50	54	3758598	8.753312e-01	1
DENND3	360825	204	51	615783	169122	0	11	6	0	7	13	589158	8.753504e-01	1
ACAP2	431673	561	43	415634	100891	0	7	2	0	16	33	1378181	8.753507e-01	1
METTL6	507426	256	49	148390	37133	0	1	0	0	50	75	3735239	8.754402e-01	1
BEND6	428244	271	23	147822	36210	0	1	0	0	50	81	4372606	8.754795e-01	1
CXCR4	431866	406	42	179914	52256	0	2	1	0	39	66	3022754	8.755012e-01	1
RGMB	141802	729	11	237424	72065	0	3	1	0	22	34	2216478	8.755200e-01	1
EIF2B1	871640	315	40	157975	44375	0	1	0	0	50	64	4256592	8.755364e-01	1
FRMPD4	191024	NaN	22	668323	190706	0	12	1	0	2	1	332990	8.755930e-01	1
EFNA2	2214581	234	29	106358	32944	0	2	0	0	50	82	4085624	8.756341e-01	1
ISM2	504548	359	47	296638	74408	0	6	1	0	50	89	4207176	8.756365e-01	1
MTMR6	330431	538	31	327807	80727	0	1	2	0	43	69	4138164	8.757652e-01	1
SIAE	172228	604	18	268167	74337	0	4	2	0	50	59	2783484	8.757656e-01	1
VEZT	371223	395	30	399375	108417	0	4	2	0	33	46	2272426	8.757931e-01	1
F10	774267	229	26	253399	65888	0	11	3	0	6	23	738116	8.758510e-01	1
PSMB5	1251074	185	39	145053	44304	0	2	1	0	50	98	4322409	8.758926e-01	1
HCN2	1740226	218	1	435514	139586	0	8	1	0	3	10	592566	8.759364e-01	1
RBM44	570382	407	24	548972	136675	0	6	1	0	25	29	2242038	8.759508e-01	1
ISLR2	492755	317	46	353296	124250	0	8	3	0	50	80	4406757	8.760957e-01	1
MPND	2122615	220	27	256878	74976	0	3	0	0	24	59	2965386	8.761298e-01	1
EFHC1	396934	431	34	332493	87330	0	18	5	0	1	5	133551	8.761473e-01	1
BIN1	324544	324	17	317583	87756	0	9	4	0	1	6	253612	8.762077e-01	1
NDST1	1109777	188	60	446448	128865	0	9	2	0	14	17	961269	8.763282e-01	1
METRN	1207790	194	33	140509	50339	0	2	1	0	50	108	4489117	8.763446e-01	1
TRPV1	472939	354	9	374454	105435	0	6	3	0	19	33	1564272	8.765071e-01	1
PRDM6	NaN	NaN	NaN	295999	90809	0	5	1	0	50	159	7997653	8.765133e-01	1
ZNF439	739660	633	-2	259079	62125	0	2	0	0	18	18	1226170	8.766096e-01	1
MUC21	2483101	261	36	271788	92229	0	2	0	0	21	19	1547516	8.766455e-01	1
TBC1D16	660356	237	21	385956	114168	0	8	4	0	21	37	1585572	8.766502e-01	1
ACTRT1	938	NaN	-35	186020	54883	0	1	2	0	45	47	3628881	8.766711e-01	1
RHOD	1615307	162	47	107423	31240	0	2	0	0	50	101	4034788	8.768643e-01	1
EPS15L1	793775	258	19	450353	121552	0	7	4	0	37	53	2599168	8.769016e-01	1
ITGA11	370132	531	41	615499	169406	0	16	8	0	9	26	936632	8.769455e-01	1
SENP7	555098	622	1	552167	139018	0	10	1	0	4	3	330150	8.769628e-01	1
SERPINA3	316239	858	10	213497	60847	0	2	0	0	34	43	2542084	8.770323e-01	1
SI	13371	1355	-23	964748	242962	0	36	6	0	0	6	242962	8.771318e-01	1
WRAP53	2068255	213	31	277823	82573	0	5	3	0	50	85	3771520	8.771343e-01	1
SNAI2	16597	598	-22	136533	37062	0	1	0	0	5	2	399375	8.771588e-01	1
IPO11	176850	735	18	537328	136604	0	5	0	0	6	4	515957	8.772236e-01	1
DNASE1	611617	242	43	146260	41606	0	2	1	0	50	102	4737404	8.772409e-01	1
SPATA20	1532661	200	20	407185	119990	0	10	5	0	25	71	2816996	8.772729e-01	1
DACT2	NaN	NaN	NaN	373034	125173	0	6	5	0	30	61	3248321	8.773841e-01	1
ZNF589	1083690	193	38	185381	50836	0	1	0	0	42	57	3081684	8.774564e-01	1
UBTD1	560569	169	41	113600	33796	0	1	0	0	50	62	4058644	8.776454e-01	1
SLC25A34	683349	174	22	147609	50694	0	2	1	0	50	98	4637791	8.776511e-01	1
SPATA13	255006	569	36	641840	184174	0	14	7	0	16	31	1395008	8.777141e-01	1
PMS1	424679	385	20	485924	120487	0	3	2	0	50	66	4118213	8.777429e-01	1
RWDD2B	316591	303	34	165856	42458	0	2	0	0	5	11	593986	8.777668e-01	1
OR52N1	203856	922	-5	157762	47144	0	1	0	0	50	60	3391741	8.777804e-01	1
EDEM1	260923	447	14	333984	95850	0	5	3	0	17	34	1294401	8.777946e-01	1
LRRC29	1109491	150	46	111328	36068	0	3	2	0	2	6	214420	8.778205e-01	1
RBMXL3	NaN	NaN	NaN	525826	157052	0	10	5	0	35	109	5284601	8.778294e-01	1
GNAI1	94843	475	-34	186872	45937	0	2	1	0	21	30	1538996	8.779044e-01	1
ZNF701	546511	1005	-53	273776	69580	0	1	0	0	31	23	2285135	8.780990e-01	1
P4HA3	641945	201	37	276829	82076	0	6	4	0	23	54	2167417	8.781065e-01	1
GDF2	NaN	NaN	NaN	212787	62835	0	2	0	0	27	39	2593204	8.781729e-01	1
ZBED2	188186	406	-14	109624	30317	0	1	0	0	50	86	4373245	8.781852e-01	1
NAF1	72763	1218	-7	273492	78384	0	2	0	0	10	9	682239	8.782756e-01	1
DNM2	2114424	208	31	469878	134190	0	11	5	0	46	90	3707620	8.783196e-01	1
USP21	728669	234	37	280734	91164	0	7	2	0	17	31	1333593	8.784671e-01	1
GAL	780720	354	49	64184	18886	0	1	1	0	11	28	1096666	8.784957e-01	1
FAM8A1	470794	339	13	201924	66030	0	2	1	0	50	71	4720009	8.784958e-01	1
CRYZ	103167	1070	-17	170116	47570	0	4	2	0	4	11	332919	8.785232e-01	1
PI16	832054	220	41	228336	73272	0	1	3	0	44	66	3610421	8.785602e-01	1
ZNF215	403341	827	6	269445	64965	0	3	2	0	6	4	322340	8.785806e-01	1
WDR44	131060	NaN	25	475061	125173	0	6	0	0	14	14	1063154	8.785903e-01	1
PTPN11	704590	167	43	313891	78455	0	3	1	0	50	70	4417265	8.786445e-01	1
SNRNP48	825677	209	14	181547	42955	0	2	0	0	33	61	2935921	8.786538e-01	1
STOML3	181679	1010	-2	153005	45298	0	1	0	0	41	47	3265148	8.786619e-01	1
NEURL1B	NaN	NaN	NaN	264972	93720	0	8	4	0	30	60	3216868	8.786646e-01	1
A1CF	113129	613	19	325464	91590	0	3	1	0	50	63	4012565	8.787102e-01	1
TBCB	978272	326	6	125599	35216	0	3	0	0	19	30	1144307	8.787216e-01	1
CHD4	2790851	179	51	997053	258582	0	27	7	0	9	56	1890730	8.788516e-01	1
CDR1	18661	NaN	-31	134545	33512	0	1	1	0	22	49	2075898	8.789272e-01	1
COMT	645345	217	24	135326	41464	0	6	1	0	1	1	129149	8.790109e-01	1
ATP6AP2	456094	NaN	63	180837	50694	0	1	1	0	50	80	3777910	8.790278e-01	1
CCDC107	1202125	248	37	140793	44304	0	1	0	0	9	5	595548	8.790352e-01	1
FAM83G	NaN	NaN	NaN	404629	125315	0	7	3	0	50	161	8032159	8.791184e-01	1
YIPF7	62950	1034	-6	145053	39618	0	1	0	0	50	80	4035427	8.791589e-01	1
BTN3A1	384310	375	47	292165	78881	0	2	1	0	50	46	3459688	8.791764e-01	1
HOXD11	242935	874	15	164791	52682	0	4	2	0	50	84	3885049	8.792257e-01	1
PRSS53	1347539	227	37	275764	86762	0	3	3	0	24	47	2375944	8.792724e-01	1
FFAR1	767113	472	9	139231	53960	0	2	1	0	50	63	3405799	8.793080e-01	1
ZNF764	2214934	142	54	199794	63261	0	4	0	0	21	33	1818665	8.793169e-01	1
GPNMB	505224	169	25	294153	80514	0	5	1	0	32	64	2956227	8.793769e-01	1
MARK2	1321109	201	51	404771	114736	0	10	5	0	13	31	974475	8.795076e-01	1
SOD3	269537	617	31	116156	38695	0	2	2	0	18	12	917817	8.795083e-01	1
IP6K2	1646019	212	45	313536	84774	0	5	1	0	50	105	4728742	8.795370e-01	1
FRMPD1	498002	434	27	789449	232312	0	10	3	0	12	12	916752	8.795506e-01	1
SPHK2	1597109	242	31	307998	114807	0	9	5	0	10	14	662927	8.796646e-01	1
COQ6	443041	158	51	246299	63190	0	3	2	0	25	31	1864105	8.797627e-01	1
GAL3ST3	3581017	208	47	206468	70432	0	10	3	0	12	21	784834	8.798167e-01	1
FCN3	866116	188	28	154638	43452	0	2	1	0	50	114	5196845	8.798399e-01	1
PDE5A	183496	900	-6	468671	114097	0	6	1	0	41	58	3262947	8.798446e-01	1
